Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,-9999
280,Ethan Westbrooks,31,NOR,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,WestEt00
281,Nick Thurman,26,ATL,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,,ThurNi00
282,Za'Darius Smith,29,GNB,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,,SmitZa00
283,Jabaal Sheard,32,MIA,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,SheaJa00
284,Freedom Akinmoladun,25,NYJ,DE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,AkinFr01
285,Rashad Weaver,24,TEN,DE,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,,WeavRa00
286,Brandon Graham,33,PHI,DE,2,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,1,1,0,,GrahBr99
287,Jabari Zuniga,24,NYJ,DE,3,0,0,0,0,0,0,1,0,0,0,0,1.0,3,1,2,0,1,0,,ZuniJa00
288,Cameron Malveaux,27,PHI,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,2,0,,MalvCa00
289,Justin Lawler,27,LAR,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,LawlJu00
290,Darryl Johnson,24,CAR,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,JohnDa10
291,Da'Shawn Hand,26,DET,DE,3,0,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,,HandDa00
292,William Bradley-King,24,WAS,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.5,5,0,5,0,1,0,,BradWi00
293,Eric Banks,23,LAC,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,,BankEr00
294,Abdullah Anderson,25,GNB,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,,AndeAb00
295,Chris Smith,29,HOU,DE,4,0,0,0,0,0,0,0,0,0,0,0,1.5,8,4,4,1,3,0,,SmitCh03
296,Chauncey Rivers,24,GNB,DE,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,RiveCh01
297,Cassius Marsh,29,CHI,DE,4,0,0,0,0,0,0,0,0,0,0,0,1.0,6,4,2,0,2,0,,MarsCa00
298,John Cominsky,26,ATL,DE,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,1,0,0,,ComiJo00
299,Henry Anderson,30,NWE,DE,4,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,,AndeHe00
300,Bradlee Anae,23,DAL,DE,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,,AnaeBr00
301,Romeo Okwara,26,DET,DE,4,4,0,0,0,0,0,0,0,0,0,0,1.0,6,3,3,1,2,0,,OkwaRo01
302,Payton Turner,22,NOR,DE,5,0,0,0,0,0,0,0,0,0,0,0,1.0,12,9,3,3,3,0,,TurnPa02
303,Derick Roberson,26,TEN,DE,5,0,0,0,0,0,0,0,0,0,0,0,1.5,11,6,5,3,4,0,,RobeDe01
304,Derek Rivers,27,HOU,DE,5,1,0,0,0,0,0,0,0,0,0,0,1.0,9,7,2,2,1,0,,RiveDe00
305,Josh Mauro,30,ARI,DE,5,1,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,,MaurJo00
306,Amani Bledsoe,23,TEN,DE,5,2,0,0,0,0,1,0,0,0,0,0,0.0,1,1,0,0,0,0,,BledAm01
307,Kenny Willekes,24,MIN,DE,6,0,0,0,0,0,1,0,0,0,0,0,2.5,18,11,7,2,7,0,,WillKe06
308,Tashawn Bower,26,2TM,DE,6,0,0,0,0,0,0,0,0,0,0,0,1.0,4,2,2,1,1,0,,BoweTa00
309,Porter Gustin,24,CLE,DE,6,1,0,0,0,0,0,0,0,1,-6,0,0.0,9,6,3,0,0,0,,GustPo01
310,Brent Urban,30,DAL,DE,6,4,0,0,0,0,1,0,0,0,0,0,0.0,3,0,3,0,0,0,,UrbaBr00
311,Kyle Phillips,24,NYJ,DE,7,1,0,0,0,0,0,0,0,0,0,0,1.0,15,6,9,2,3,0,,PhilKy00
