year-drafted,qb-num-picked,rd-picked,num-picked,name,height (in),weight (lbs),nfl-team,coach-tenure,drafted-team-winpr,drafted_team_ppg_rk,college,conf,conf-str,p-cmp,p-att,cmp-pct,p-yds,p-ypa,p-adj-ypa,p-td,int,rate,r-att,r-yds,r-avg,r-tds,nfl-starts,nfl-wins,nfl-losses,nfl-ties,nfl-winpr,nfl-qbr,nfl-cmp,nfl-att,nfl-inc,nfl-comp%,nfl-yds,nfl-tds,nfl-int,nfl-pick6,nfl-int%,nfl-sack%,nfl-y/a,nfl-ay/a,nfl-any/a,nfl-y/c,nfl-y/g,nfl-succ%,nfl-4qc,nfl-gwd
2023,1,1,1,Bryce Young,70,204,Panthers,0,0.412,19,Alabama,SEC,0.692,624,949,65.8,8356,8.8,9.9,80,12,165,139,162,1.2,7,16,2,14,0,0.13,73.7,315,527,212,59.8,2877,11,10,3,1.9,10.53,5.5,5.02,3.68,9.1,179.8,36.5,2,2
2023,2,1,2,C.J. Stroud,75,214,Texans,0,0.206,29,Ohio State,Big Ten,0.608,575,830,69.3,8123,9.8,11.2,85,12,182.4,80,136,1.7,1,15,9,6,0,0.6,100.8,319,499,180,63.9,4108,23,5,0,1,7.08,8.2,8.7,7.47,12.9,273.9,46.7,1,3
2023,3,1,4,Anthony Richardson,76,244,Colts,0,0.265,29,Florida,SEC,0.692,215,393,54.7,3105,7.9,7.4,24,15,133.6,161,1116,6.9,12,4,2,2,0,0.5,87.3,50,84,34,59.5,577,3,1,0,1.2,7.69,6.9,7.05,6.19,11.5,144.3,44,0,0
2023,4,2,33,Will Levis,75,229,Titans,5,0.412,27,Kentucky,SEC,0.692,479,738,64.9,5876,8,7.7,46,25,145.6,312,742,2.4,17,9,3,6,0,0.33,84.2,149,255,106,58.4,1808,8,4,1,1.6,9.89,7.1,7.01,5.66,12.1,200.9,37.1,1,1
2023,5,3,68,Hendon Hooker,76,217,Lions,2,0.529,5,Tennessee,SEC,0.692,632,943,67,8974,9.5,10.6,80,12,172.4,518,2083,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6,4,127,Jake Haener,73,207,Saints,1,0.412,21,Fresno State,MWC,0.437,740,1085,68.2,9120,8.4,8.9,68,18,156.2,175,-109,-0.6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,4,128,Stetson Bennett,71,192,Rams,6,0.294,26,Georgia,SEC,0.692,601,923,65.1,8429,9.1,9.5,66,21,160.9,141,530,3.8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,8,4,135,Aidan O'Connell,75,213,Raiders,1,0.353,12,Purdue,Big Ten,0.608,826,1238,66.7,9219,7.4,7.4,65,30,141.8,95,-274,-2.9,2,10,5,5,0,0.5,83.9,213,343,130,62.1,2218,12,7,0,2,6.54,6.5,6.25,5.37,10.4,201.6,43.6,0,1
2023,9,5,139,Clayton Tune,75,220,Cardinals,0,0.235,20,Houston,American,0.539,956,1497,63.9,11994,8,8.2,104,41,148.6,412,1248,3,15,1,0,1,0,0,22.6,12,21,9,57.1,62,0,2,0,9.5,25,3,-1.33,-2.46,5.2,8.9,17.9,0,0
2023,10,5,140,Dorian Thompson-Robinson,73,203,Browns,3,0.412,17,UCLA,Pac 12,0.598,860,1359,63.3,10710,7.9,8,88,36,145.6,471,1826,3.9,28,3,1,2,0,0.33,51.2,60,112,52,53.6,440,1,4,0,3.6,5.08,3.9,2.5,1.86,7.3,55,35.6,0,1
2023,11,5,149,Sean Clifford,74,211,Packers,4,0.471,14,Penn State,Big Ten,0.608,833,1356,61.4,10661,7.9,8.1,86,31,143.8,388,1073,2.8,15,0,0,0,0,0,118.7,1,1,0,100,37,0,0,0,0,0,37,37,37,37,18.5,100,0,0
2023,12,5,164,Jaren Hall,73,207,Vikings,1,0.765,7,Brigham Young,Independent,0.484,468,718,65.2,6174,8.6,9.4,52,11,158.2,181,800,4.4,9,2,1,1,0,0.5,70.4,13,20,7,65,168,0,1,0,5,16.67,8.4,6.15,3.96,12.9,56,37.5,0,0
2023,13,6,188,Tanner McKee,78,213,Eagles,2,0.824,2,Stanford,Pac 12,0.598,473,748,63.2,5336,7.1,7,28,15,131.5,135,-86,-0.6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,14,7,239,Max Duggan,74,207,Chargers,2,0.588,13,Texas Christian,Big 12,0.643,739,1225,60.3,9618,7.9,8,73,28,141.4,488,1856,3.8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,1,20,Kenny Pickett,75,217,Steelers,15,0.559,20,Pittsburgh,Big Ten,0.645,1045,1674,62.4,12303,7.3,7.5,81,32,136.3,416,809,1.9,20,24,14,10,0,0.58,78.8,446,713,267,62.6,4474,13,13,0,1.8,6.55,6.3,5.82,4.97,10,179,42.3,6,7
2022,2,3,74,Desmond Ridder,76,211,Falcons,1,0.412,24,Cincinnati,American,0.539,810,1304,62.1,10239,7.9,8.2,87,28,145.8,501,2190,4.4,28,17,8,9,0,0.47,84.1,322,503,181,64,3544,14,12,1,2.4,7.37,7,6.53,5.62,11,186.5,44.9,3,5
2022,3,3,86,Malik Willis,73,220,Titans,4,0.706,14,Liberty,Independent,0.488,388,618,62.8,5186,8.4,8.6,48,18,153.1,366,2131,5.8,29,3,1,2,0,0.33,49.4,35,66,31,53,350,0,3,0,4.5,17.5,5.3,3.26,1.7,10,31.8,31.3,0,0
2022,4,3,94,Matt Corral,73,200,Panthers,2,0.294,27,Mississippi,SEC,0.659,614,912,67.3,8287,9.1,9.2,57,23,159.2,334,1338,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,5,4,137,Bailey Zappe,73,215,Patriots,22,0.588,6,Western Kentucky,CUSA,0.457,475,687,69.1,5967,8.7,9.8,62,11,168.7,51,17,0.3,3,8,4,4,0,0.5,78.5,192,304,112,63.2,2053,11,12,1,3.9,9.25,6.8,5.7,4.48,10.7,146.6,38.8,0,1
2022,6,5,144,Sam Howell,73,221,Commanders,2,0.412,22,North Carolina,ACC,0.558,713,1117,63.8,10283,9.2,9.9,92,23,164.2,369,1009,2.7,17,18,5,13,0,0.28,79,399,631,232,63.2,4115,22,22,4,3.5,9.73,6.5,5.65,4.44,10.3,228.6,42.2,2,2
2022,9,7,262,Brock Purdy,73,212,49ers,5,0.588,12,Iowa State,Big 12,0.648,993,1467,67.7,12170,8.3,8.4,81,33,151.1,365,1177,3.2,19,21,17,4,0,0.81,111.4,422,614,192,68.7,5654,44,15,1,2.4,5.97,9.2,9.54,8.61,13.4,226.2,53.4,1,1
2021,1,1,1,Trevor Lawrence,78,220,Jaguars,0,0.063,28,Clemson,ACC,0.556,758,1138,66.6,10098,8.9,9.8,90,17,164.3,231,943,4.1,18,50,20,30,0,0.4,85,1116,1750,634,63.8,11770,58,39,1,2.2,5.1,6.7,6.39,5.71,10.5,235.4,46.4,5,6
2021,2,1,2,Zach Wilson,75,210,Jets,0,0.125,30,Brigham Young,Independent,0.596,566,837,67.6,7652,9.1,9.7,56,15,162.9,212,642,3,15,33,12,21,0,0.36,73.2,566,993,427,57,6293,23,25,0,2.5,10.22,6.3,5.67,4.29,11.1,185.1,37,5,5
2021,3,1,3,Trey Lance,76,226,49ers,4,0.375,20,North Dakota State,FCS,0,208,318,65.4,2947,9.3,11,30,1,173.8,192,1325,6.9,18,4,2,2,0,0.5,84.5,56,102,46,54.9,797,5,3,0,2.9,5.56,7.8,7.47,6.83,14.2,99.6,37,0,0
2021,4,1,11,Justin Fields,75,228,Bears,3,0.5,21,Ohio State,Big Ten,0.455,423,618,68.4,5701,9.2,10.7,67,9,178.8,260,1133,4.4,19,38,10,28,0,0.26,82.3,578,958,380,60.3,6674,40,30,4,3.1,12.35,7,6.39,4.77,11.5,166.9,37.8,2,3
2021,5,1,15,Mac Jones,75,214,Patriots,21,0.438,25,Alabama,SEC,0.626,413,556,74.3,6126,11,12.5,56,7,197.6,54,42,0.8,2,42,18,24,0,0.43,85.8,864,1308,444,66.1,8918,46,36,6,2.8,6.03,6.8,6.28,5.47,10.3,212.3,44.9,2,2
2021,6,2,64,Kyle Trask,77,240,Buccaneers,2,0.688,3,Florida,SEC,0.626,552,813,67.9,7386,9.1,10,69,15,168.5,132,54,0.4,8,0,0,0,0,0,39.6,3,10,7,30,23,0,0,0,0,0,2.3,2.3,2.3,7.7,7.7,20,0,0
2021,7,3,66,Kellen Mond,75,211,Vikings,7,0.438,11,Texas A&M,SEC,0.626,801,1358,59,9661,7.1,7.3,71,27,132,438,1608,3.7,22,0,0,0,0,0,70.1,2,3,1,66.7,5,0,0,0,0,0,1.7,1.67,1.67,2.5,5,33.3,0,0
2021,8,3,67,Davis Mills,76,212,Texans,0,0.25,18,Stanford,Pac 12,0.277,287,438,65.5,3464,7.9,7.9,18,8,141.9,63,86,1.4,3,26,5,19,1,0.19,83,573,912,339,62.8,5955,35,25,3,2.7,6.56,6.5,6.06,5.19,10.4,175.1,41.6,2,3
2021,9,4,133,Ian Book,72,206,Saints,8,0.75,5,Notre Dame,ACC,0.556,728,1141,63.8,8948,7.8,8.3,72,20,147,361,1517,4.2,17,1,0,1,0,0,40.6,12,20,8,60,135,0,2,1,10,28.57,6.8,2.25,-0.32,11.3,135,28.6,0,0
